Year,State,value
1944,Iowa,201.3906997
1944,Idaho,182.3251418
1944,Ill.,239.8108563
1944,Ind.,149.0843023
1944,Kan.,551.6301293
1944,Ky.,86.48802737
1944,La.,103.9673046
1944,Mass.,433.3850191
1944,Md.,613.7865911
1944,Maine,611.1111111
1944,Mich.,466.9014085
1944,Minn.,770.50673
1944,Mo.,155.9550562
1944,Miss.,0
1944,Mont.,720.7889126
1944,N.C.,671.4747191
1944,N.D.,644.3820225
1944,Neb.,186.1430921
1944,N.H.,125.9868421
1944,N.J.,658.6339586
1944,N.M,303.7001898
1944,Nev.,244.4444444
1944,N.Y.,334.8630029
1944,Ohio,557.899682
1944,Okla.,166.7890357
1944,Ore.,239.8621249
1944,Pa.,256.5715216
1944,R.I.,535.9748428
1944,S.C.,363.6129696
1944,S.D.,258.7610619
1944,Tenn.,184.3967922
1944,Texas,542.1974985
1944,Utah,200.661157
1944,Va.,475.4618227
1944,Vt.,751.433121
1944,Wash.,264.0296367
1944,Wis.,1407.885906
1944,W.Va.,497.2450176
1944,Wyo.,728.0991736
1945,Alaska,
1945,Ala.,27.31531532
1945,Ark.,69.52326901
1945,Ariz.,93.68686869
1945,Calif.,339.4638271
1945,Colo.,95.92293907
1945,Conn.,170.2091577
1945,D.C.,39.61187215
1945,Del.,96.85314685
1945,Fla.,39.63488844
1945,Ga.,27.54087849
1945,Hawaii,
1945,Iowa,61.39514731
1945,Idaho,259.9605523
1945,Ill.,103.2561505
1945,Ind.,33.45491684
1945,Kan.,95.95609474
1945,Ky.,61.10897189
1945,La.,41.18979004
1945,Mass.,186.6341347
1945,Md.,87.42843511
1945,Maine,61.3125
1945,Mich.,121.2054795
1945,Minn.,62.92865589
1945,Mo.,30.20477816
1945,Miss.,0
1945,Mont.,175.2620545
1945,N.C.,72.51627512
1945,N.D.,64.1025641
1945,Neb.,71.552436
1945,N.H.,33.87799564
1945,N.J.,78.88266796
1945,N.M,67.87709497
1945,Nev.,71.81208054
1945,N.Y.,52.38895558
1945,Ohio,49.81203008
1945,Okla.,51.10946746
1945,Ore.,156.32
1945,Pa.,127.2995734
1945,R.I.,55.54123711
1945,S.C.,78.90382627
1945,S.D.,100.6044905
1945,Tenn.,65.86170952
1945,Texas,188.8514503
1945,Utah,746.108291
1945,Va.,64.43783276
1945,Vt.,180
1945,Wash.,291.7044424
1945,Wis.,165.5352921
1945,W.Va.,79.62529274
1945,Wyo.,157.5313808
1946,Alaska,
1946,Ala.,126.7605634
1946,Ark.,168.4474124
1946,Ariz.,498.7012987
1946,Calif.,575.1595355
1946,Colo.,992.726517
1946,Conn.,397.9013641
1946,D.C.,465.9621802
1946,Del.,198.9966555
1946,Fla.,116.9262295
1946,Ga.,117.1036397
1946,Hawaii,
1946,Iowa,160.4783137
1946,Idaho,433.5952849
1946,Ill.,298.1361128
1946,Ind.,293.017288
1946,Kan.,658.1717452
1946,Ky.,269.5943499
1946,La.,126.3106416
1946,Mass.,798.3867379
1946,Md.,488.4146341
1946,Maine,578.0048077
1946,Mich.,627.9196459
1946,Minn.,44.80614484
1946,Mo.,166.9247197
1946,Miss.,
1946,Mont.,422.6653696
1946,N.C.,225.1888829
1946,N.D.,40.78947368
1946,Neb.,395.6210191
1946,N.H.,226.7206478
1946,N.J.,1151.73642
1946,N.M,215.4188948
1946,Nev.,125.8741259
1946,N.Y.,600.8284819
1946,Ohio,200.4526092
1946,Okla.,188.9567669
1946,Ore.,453.4005979
1946,Pa.,611.488952
1946,R.I.,160.5844156
1946,S.C.,358.1869835
1946,S.D.,189.7108844
1946,Tenn.,150.4554327
1946,Texas,410.1709045
1946,Utah,1244.592476
1946,Va.,385.8188045
1946,Vt.,858.625731
1946,Wash.,513.6363636
1946,Wis.,1333.628039
1946,W.Va.,140.5805038
1946,Wyo.,397.6377953
1947,Alaska,
1947,Ala.,127.2603671
1947,Ark.,130.6372549
1947,Ariz.,224.5022971
1947,Calif.,74.97457282
1947,Colo.,142.9264349
1947,Conn.,814.8957804
1947,D.C.,60.13513514
1947,Del.,19.3442623
1947,Fla.,53.06566456
1947,Ga.,102.4297066
1947,Hawaii,
1947,Iowa,177.8597051
1947,Idaho,51.14942529
1947,Ill.,91.45785877
1947,Ind.,60.91558613
1947,Kan.,48.0841878
1947,Ky.,30.09275776
1947,La.,49.96122528
1947,Mass.,252.6637555
1947,Md.,50.88967972
1947,Maine,504.5667447
1947,Mich.,148.0250165
1947,Minn.,319.3669528
1947,Mo.,33.56306892
1947,Miss.,14.97389654
1947,Mont.,843.4086629
1947,N.C.,127.6067923
1947,N.D.,236.0726644
1947,Neb.,37.39130435
1947,N.H.,61.04536489
1947,N.J.,250.7037679
1947,N.M,226.8041237
1947,Nev.,18.45637584
1947,N.Y.,107.9709627
1947,Ohio,239.4484101
1947,Okla.,10.75949367
1947,Ore.,71.93240265
1947,Pa.,113.3728913
1947,R.I.,507.3453608
1947,S.C.,161.87249
1947,S.D.,218.3028286
1947,Tenn.,60.97599495
1947,Texas,109.4951272
1947,Utah,99.21383648
1947,Va.,242.1743205
1947,Vt.,1348.870056
1947,Wash.,63.81727725
1947,Wis.,383.1692308
1947,W.Va.,143.5740839
1947,Wyo.,170.1550388
1948,Alaska,
1948,Ala.,69.08049848
1948,Ark.,208.3287671
1948,Ariz.,623.4057971
1948,Calif.,487.8477742
1948,Colo.,723.2779097
1948,Conn.,140.590864
1948,D.C.,305.0595238
1948,Del.,333.1730769
1948,Fla.,152.3661753
1948,Ga.,37.81834919
